MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
31.0,15.5,7.75,4.0,2.0,2.0,0.5,1.0,2.0,1.0,1.5,0.75,2.5,1.25
16.8,16.8,10.5,1.6,2.4,1.6,0.25,0.4,1.0,0.4,1.4,0.875,2.0,1.25
19.91666667,18.38461538,7.966666667,2.5,2.692307692,2.307692308,0.566666667,1.307692308,1.083333333,0.846153846,0.538461538,0.233333333,2.461538462,1.066666667
9.666666667,9.666666667,9.666666667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.333333333,0.333333333,1.333333333,1.333333333
15.5,15.5,8.454545455,1.833333333,1.833333333,1.833333333,0.454545455,0.833333333,1.0,0.5,0.5,0.272727273,2.5,1.363636364
22.0,22.0,8.8,2.5,3.0,2.5,0.6,1.5,1.0,0.5,0.5,0.2,4.5,1.8
15.4,15.4,12.83333333,1.2,1.4,1.2,0.166666667,0.2,1.0,0.2,1.0,0.833333333,1.2,1.0
82.0,27.33333333,16.4,5.0,2.333333333,1.666666667,0.4,0.666666667,3.0,1.0,0.333333333,0.2,4.0,2.4
27.0,27.0,27.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,1.5,1.5
24.75,24.75,14.14285714,1.75,2.0,1.75,0.428571429,0.75,1.0,0.75,1.5,0.857142857,3.75,2.142857143
37.0,37.0,10.57142857,3.5,3.5,3.5,0.714285714,2.5,1.0,0.5,3.0,0.857142857,5.5,1.571428571
29.5,29.5,19.66666667,1.5,1.5,1.5,0.333333333,0.5,1.0,0.5,1.0,0.666666667,5.5,3.666666667
18.66666667,18.66666667,11.2,1.666666667,1.666666667,1.666666667,0.6,1.0,1.0,0.333333333,0.666666667,0.4,2.333333333,1.4
22.0,22.0,8.8,2.5,3.0,2.5,0.4,1.0,1.0,1.0,0.5,0.2,2.5,1.0
19.5,19.5,13.0,1.5,1.5,1.5,0.333333333,0.5,1.0,0.5,2.0,1.333333333,3.0,2.0
23.33333333,23.33333333,7.0,3.333333333,4.333333333,3.333333333,0.6,2.0,1.0,1.0,0.666666667,0.2,2.666666667,0.8
23.33333333,17.5,10.0,2.333333333,2.0,1.75,0.428571429,0.75,1.333333333,0.5,1.0,0.571428571,1.5,0.857142857
15.5,15.5,15.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0
24.5,24.5,12.25,2.0,2.5,2.0,0.5,1.0,1.0,1.0,0.5,0.25,5.0,2.5
14.5,14.5,9.666666667,1.5,1.5,1.5,0.333333333,0.5,1.0,0.5,1.5,1.0,2.0,1.333333333
14.2,14.2,8.875,1.6,1.8,1.6,0.375,0.6,1.0,0.6,0.4,0.25,2.4,1.5
